Station ID,Address,Charger Type,Station Operator,Cost (USD/kWh),Distance to City (km),Usage Stats (avg users/day),Charging Capacity (kW),Reviews (Rating),Renewable Energy Source,PRIME_UtilityScore_100,PRIME_RiskScore_100,PRIME_DeploymentImpact_100,NetworkRank
EVS00098,"7371 Beijing Ave, Beijing",DC Fast Charger,Tesla,0.2,10.82,85,350,3.8,No,67.21399357208652,41.03076923076923,68.04444444444447,402
EVS00099,"8983 Dubai Ave, Dubai",AC Level 2,Tesla,0.41,4.43,17,350,3.9,Yes,38.63022524136115,55.09871794871793,45.81111111111112,2945
EVS00100,"1750 Seoul Ave, Seoul",AC Level 2,ChargePoint,0.41,3.0,54,150,4.8,No,59.098583962993544,38.6578799249531,63.81517615176152,866
EVS00101,"7940 Random Rd, City 40, Country",DC Fast Charger,ChargePoint,0.12,3.06,22,50,3.2,Yes,46.755971656222506,25.547717323326957,40.622764227642286,1963
EVS00102,"7022 Beijing Ave, Beijing",DC Fast Charger,Ionity,0.12,17.81,41,22,3.2,No,18.973697825804578,52.05897435897435,29.355555555555558,4704
EVS00103,"5496 Seoul Ave, Seoul",AC Level 1,Greenlots,0.32,8.26,20,22,3.3,No,25.936706579850718,55.415384615384625,34.32222222222222,4312
EVS00104,"4326 Toronto Ave, Toronto",AC Level 2,Ionity,0.14,19.64,93,22,3.4,No,4.825220375567469,63.925641025641,29.55555555555555,4987
EVS00105,"1236 Mexico City Ave, Mexico City",AC Level 2,EVgo,0.26,3.62,76,150,4.4,No,60.6663497950827,35.46941838649156,60.03739837398374,749
EVS00106,"2317 Mexico City Ave, Mexico City",AC Level 2,ChargePoint,0.29,0.56,47,350,3.2,No,38.542522788555154,50.5910256410256,39.13333333333334,2965
EVS00107,"7328 Cape Town Ave, Cape Town",DC Fast Charger,ChargePoint,0.31,12.84,96,22,4.8,No,19.869682575903354,59.31923076923069,41.44444444444444,4672
EVS00108,"9772 Mumbai Ave, Mumbai",AC Level 2,Tesla,0.11,3.14,43,350,5.0,Yes,78.51694941849107,14.788461538461517,66.26666666666667,96
EVS00109,"5042 Moscow Ave, Moscow",DC Fast Charger,Ionity,0.19,17.93,62,50,3.3,No,24.906401907424932,60.7054096310194,36.21165311653116,4384
EVS00110,"7308 Beijing Ave, Beijing",AC Level 1,EVgo,0.19,3.73,68,350,4.3,Yes,83.79948877345522,24.44743589743591,76.92222222222222,50
EVS00111,"7129 Random Rd, City 300, Country",DC Fast Charger,Ionity,0.15,7.14,43,350,3.2,Yes,54.990898236676095,42.96282051282051,53.666666666666664,1153
EVS00112,"4833 Chicago Ave, Chicago",AC Level 1,Greenlots,0.35,2.2,48,50,4.1,Yes,47.40638179020515,36.390025015634734,46.87831978319784,1908
EVS00113,"563 Bangkok Ave, Bangkok",AC Level 2,ChargePoint,0.27,17.19,22,150,3.2,Yes,42.23640560313706,57.66263289555965,50.678048780487806,2521
EVS00114,"1666 Mumbai Ave, Mumbai",AC Level 2,ChargePoint,0.39,18.54,19,50,3.5,Yes,43.20454177540659,58.98233270794241,51.744986449864506,2404
EVS00115,"3505 Seoul Ave, Seoul",AC Level 2,Greenlots,0.31,9.12,59,50,3.4,No,28.187422924149807,57.0105378361476,33.71165311653117,4130
EVS00116,"8657 Chicago Ave, Chicago",AC Level 2,ChargePoint,0.3,1.96,57,50,4.9,Yes,54.24533405549634,26.632332707942417,50.96720867208672,1214
EVS00117,"2491 Beijing Ave, Beijing",AC Level 2,Ionity,0.37,6.45,44,22,4.1,No,26.522006253539654,53.6448717948718,38.855555555555554,4262
EVS00118,"7486 Dubai Ave, Dubai",DC Fast Charger,Tesla,0.17,13.63,89,22,4.4,No,23.227133510326098,50.72692307692306,40.06666666666667,4518
EVS00119,"157 Dubai Ave, Dubai",AC Level 2,Greenlots,0.18,18.85,44,50,3.9,Yes,42.06014186677169,46.11951219512191,50.10054200542006,2542
EVS00120,"3530 Sydney Ave, Sydney",AC Level 2,Tesla,0.28,11.27,62,150,3.1,No,46.64388870850089,54.22070043777361,50.44850948509485,1971
EVS00121,"950 Random Rd, City 136, Country",DC Fast Charger,Tesla,0.4,6.67,92,150,3.6,Yes,51.39174176577473,53.130956848029975,55.94850948509485,1477
EVS00122,"170 Los Angeles Ave, Los Angeles",AC Level 2,Greenlots,0.29,18.6,57,50,3.3,Yes,32.13932093638719,60.077204502814155,40.87831978319784,3746
EVS00123,"8450 São Paulo Ave, São Paulo",AC Level 2,Tesla,0.21,7.71,62,50,3.7,Yes,50.61812903731046,37.34899937460902,49.011653116531164,1558
EVS00124,"5746 Moscow Ave, Moscow",AC Level 2,EVgo,0.46,8.61,83,50,4.5,Yes,42.558237685667464,54.32207629768598,52.56720867208672,2482
EVS00125,"5550 Sydney Ave, Sydney",DC Fast Charger,Tesla,0.48,14.6,33,50,3.1,No,18.804154794770955,73.61438398999368,29.43387533875339,4709
EVS00126,"7503 Seoul Ave, Seoul",AC Level 1,Tesla,0.47,14.8,45,150,4.3,Yes,61.673866788525,53.17288930581602,70.64471544715447,693
EVS00127,"6276 Mexico City Ave, Mexico City",DC Fast Charger,Ionity,0.21,5.86,49,22,4.2,No,33.64381138387677,40.05256410256407,40.44444444444445,3576
EVS00128,"6208 Sydney Ave, Sydney",AC Level 2,Ionity,0.16,15.95,71,50,4.1,No,30.367971942470646,52.14002501563465,40.300542005420056,3940
EVS00129,"3833 Beijing Ave, Beijing",AC Level 1,Ionity,0.1,11.77,66,22,4.3,Yes,41.78965371392117,30.85128205128194,45.94444444444444,2580
EVS00130,"4948 Chicago Ave, Chicago",DC Fast Charger,EVgo,0.35,10.65,58,150,4.0,Yes,56.787570360135014,46.75531582238887,61.37073170731707,1022
EVS00131,"8806 Random Rd, City 293, Country",AC Level 1,Tesla,0.16,16.3,28,50,4.5,Yes,45.97093764603042,35.20669168230141,49.45609756097561,2053
EVS00132,"2642 Chicago Ave, Chicago",AC Level 1,EVgo,0.27,4.99,32,150,4.9,No,49.99663835270921,31.285709818636555,47.91138211382114,1628
EVS00133,"1811 Dubai Ave, Dubai",DC Fast Charger,EVgo,0.43,2.45,37,22,4.8,Yes,43.41662804287194,37.01153846153839,50.73333333333333,2381
EVS00134,"3495 Chicago Ave, Chicago",AC Level 1,Greenlots,0.33,9.03,26,50,4.5,No,43.91978589243222,43.37976860537832,47.32276422764228,2311
EVS00135,"821 Mumbai Ave, Mumbai",DC Fast Charger,Greenlots,0.25,6.6,45,350,4.3,No,56.06871663898644,43.84487179487175,55.766666666666666,1071
EVS00136,"6193 Sydney Ave, Sydney",AC Level 1,Tesla,0.34,5.92,30,350,4.6,No,38.49406913533514,52.21538461538462,43.2,2971
EVS00137,"3078 Cape Town Ave, Cape Town",AC Level 1,Ionity,0.41,0.59,37,350,3.4,Yes,47.935780429360285,49.419230769230744,48.53333333333333,1841
EVS00138,"4542 Toronto Ave, Toronto",DC Fast Charger,Tesla,0.33,18.44,98,22,4.7,Yes,24.44988871978807,59.155128205128136,45.10000000000001,4425
EVS00139,"852 Beijing Ave, Beijing",AC Level 1,Ionity,0.34,12.54,94,22,5.0,Yes,32.250201530172674,50.128205128205025,48.488888888888894,3733
EVS00140,"5698 Cape Town Ave, Cape Town",AC Level 2,Tesla,0.5,6.97,76,350,4.3,Yes,61.53618624580418,53.21025641025633,75.63333333333333,700
EVS00141,"8709 Random Rd, City 424, Country",AC Level 1,Tesla,0.35,13.3,87,22,4.7,No,18.320919890788915,62.69358974358974,40.03333333333334,4732
EVS00142,"3638 Beijing Ave, Beijing",AC Level 1,ChargePoint,0.11,8.57,85,150,4.4,No,62.730715731245404,30.527110694183808,59.63739837398374,641
EVS00143,"4783 Cape Town Ave, Cape Town",AC Level 2,ChargePoint,0.44,0.74,14,50,3.4,No,33.53556367772658,47.8215134459037,38.02818428184282,3592
EVS00144,"7845 Toronto Ave, Toronto",DC Fast Charger,Greenlots,0.15,14.65,80,150,4.1,Yes,59.783388830653955,38.11172607879921,61.0929539295393,814
EVS00145,"3962 Moscow Ave, Moscow",AC Level 1,Greenlots,0.5,10.27,34,350,4.4,Yes,45.66597428236373,63.15641025641021,59.488888888888894,2088
EVS00146,"7670 São Paulo Ave, São Paulo",DC Fast Charger,Greenlots,0.2,18.53,33,50,4.1,Yes,39.64273932198301,46.2682301438399,48.65609756097561,2828
EVS00147,"642 Bangkok Ave, Bangkok",AC Level 1,ChargePoint,0.39,14.29,42,350,4.1,Yes,53.29733423589586,61.811538461538376,61.65555555555555,1292
EVS00148,"668 Berlin Ave, Berlin",AC Level 1,ChargePoint,0.41,0.64,52,150,5.0,No,54.88789204310733,36.19121325828634,60.85962059620598,1158
EVS00149,"2735 Mexico City Ave, Mexico City",AC Level 2,Tesla,0.26,10.3,75,50,4.8,Yes,55.79988406140669,37.84002501563478,58.35609756097562,1090
EVS00150,"8002 San Francisco Ave, San Francisco",AC Level 2,EVgo,0.5,13.46,95,22,5.0,No,9.097949738060896,70.08974358974355,36.22222222222222,4955
EVS00151,"9467 Random Rd, City 394, Country",AC Level 2,Ionity,0.5,19.37,22,50,3.2,Yes,31.433847311009217,74.95797373358336,47.28943089430895,3826
EVS00152,"9559 Berlin Ave, Berlin",AC Level 2,Greenlots,0.25,11.02,92,22,4.1,No,16.38160953792826,55.811538461538426,32.27777777777777,4800
EVS00153,"1810 Cape Town Ave, Cape Town",AC Level 2,ChargePoint,0.33,7.88,90,150,4.6,No,46.97476265954904,47.8681363352095,50.81517615176152,1939
EVS00154,"8891 Toronto Ave, Toronto",AC Level 2,Greenlots,0.33,3.85,39,150,4.7,Yes,67.70459026499489,26.803658536585285,64.68915989159892,374
EVS00155,"866 Dubai Ave, Dubai",AC Level 2,Tesla,0.11,5.51,93,50,4.3,Yes,51.64151828500423,27.564383989993672,48.50054200542006,1453
EVS00156,"8440 Dubai Ave, Dubai",AC Level 2,Greenlots,0.45,9.78,23,350,3.7,No,29.268387716541,70.83461538461535,39.83333333333333,4043
EVS00157,"4259 Sydney Ave, Sydney",AC Level 2,Tesla,0.22,4.19,18,22,4.9,Yes,64.21161026852398,16.348717948717894,57.833333333333336,563
EVS00158,"8145 Bangkok Ave, Bangkok",DC Fast Charger,Greenlots,0.13,14.81,42,150,4.9,Yes,64.53423371919553,26.6318636647904,66.5780487804878,542
EVS00159,"2502 Chicago Ave, Chicago",AC Level 2,Greenlots,0.37,13.61,41,50,4.0,No,34.48370776919917,57.71310193871159,40.933875338753396,3461
EVS00160,"5969 Beijing Ave, Beijing",DC Fast Charger,Ionity,0.39,17.32,32,350,4.9,No,33.192758947525064,67.5474358974359,45.25555555555555,3635
EVS00161,"4227 Random Rd, City 428, Country",AC Level 2,ChargePoint,0.12,14.91,53,22,4.9,No,30.53632603950082,37.73333333333323,39.611111111111114,3928
EVS00162,"273 San Francisco Ave, San Francisco",DC Fast Charger,Ionity,0.3,13.53,30,150,4.5,Yes,55.21049059304941,40.64853033145717,56.2669376693767,1136
EVS00163,"9567 Moscow Ave, Moscow",DC Fast Charger,Tesla,0.29,18.4,17,350,3.8,No,16.1123869233314,69.60128205128193,27.333333333333332,4816
EVS00164,"2651 Moscow Ave, Moscow",AC Level 1,Greenlots,0.12,16.5,52,22,4.0,Yes,32.684167981581126,41.08974358974358,42.244444444444454,3692
EVS00165,"9305 Los Angeles Ave, Los Angeles",AC Level 1,ChargePoint,0.46,18.56,100,50,4.2,Yes,37.22838226642617,71.45797373358343,53.04498644986451,3137
EVS00166,"3107 Beijing Ave, Beijing",AC Level 1,Tesla,0.15,16.48,70,350,3.7,No,55.164333131172306,51.7833333333332,63.78888888888889,1137
