Comparison,Metric,MeanDelta,CI95_Low,CI95_High,Bootstrap_p,Significant_at_0.05
PRIME-EV vs WASPAS,Precision@10%,0.3142857142857143,0.22857142857142854,0.40785714285714286,0.0,True
PRIME-EV vs WASPAS,Top10_AvgUtility,0.030587934046080383,0.015780610857976766,0.04687477578248303,0.0,True
PRIME-EV vs SAW_EqualWeights,NDCG@10%,0.05111338080094189,0.03639379308418631,0.06947558821661436,0.0,True
PRIME-EV vs SAW_EqualWeights,Precision@10%,0.3238095238095238,0.19214285714285717,0.4442857142857142,0.0,True
PRIME-EV vs SAW_EqualWeights,Top10_AvgUtility,0.03804154473530082,0.020116070177789613,0.05378069123559364,0.0,True
PRIME-EV vs GradientBoostedRanker,NDCG@10%,0.008722402828275891,0.003216971188173809,0.018011977535350353,0.0,True
PRIME-EV vs GradientBoostedRanker,Precision@10%,0.05619047619047615,-0.036428571428571435,0.1428571428571428,0.3333333333333333,False
PRIME-EV vs GradientBoostedRanker,Top10_AvgUtility,0.0041608019099238615,0.0013547864587987763,0.00756367956163078,0.0,True
PRIME-EV vs RandomForestRanker,NDCG@10%,0.018865793896816474,0.009372237020648252,0.028553520883901364,0.0,True
PRIME-EV vs RandomForestRanker,Precision@10%,0.09047619047619042,-0.02857142857142847,0.1792857142857142,0.13333333333333333,False
PRIME-EV vs RandomForestRanker,Top10_AvgUtility,0.009233283718991092,0.0019314198755175538,0.016333121221596813,0.0,True
PRIME-EV vs RidgeLinearRanker,NDCG@10%,0.020870048599141686,0.01169945668436669,0.0305764076457809,0.0,True
PRIME-EV vs RidgeLinearRanker,Precision@10%,0.16952380952380952,0.08571428571428563,0.2571428571428571,0.0,True
PRIME-EV vs RidgeLinearRanker,Top10_AvgUtility,0.014347533418704135,0.008783612019416942,0.020551554245212635,0.0,True
PRIME-EV vs ShallowTreeRanker,NDCG@10%,0.09556319603798524,0.05524844161735705,0.13437184280089914,0.0,True
PRIME-EV vs ShallowTreeRanker,Precision@10%,0.31047619047619046,0.16357142857142853,0.4364285714285714,0.0,True
PRIME-EV vs ShallowTreeRanker,Top10_AvgUtility,0.048742526122477335,0.028508536064207002,0.07032359014562665,0.0,True
PRIME-EV vs DemandCapacityHeuristic,NDCG@10%,0.05428431573801443,0.0404267911195736,0.0714569477056022,0.0,True
PRIME-EV vs DemandCapacityHeuristic,Precision@10%,0.21238095238095236,0.09857142857142853,0.3507142857142857,0.0,True
PRIME-EV vs DemandCapacityHeuristic,Top10_AvgUtility,0.026268113384357306,0.01777151357991593,0.04173963480151287,0.0,True
PRIME-EV vs CostAccessHeuristic,NDCG@10%,0.19202273168318904,0.13993479113644403,0.2557758351604066,0.0,True
PRIME-EV vs CostAccessHeuristic,Precision@10%,0.6800000000000002,0.5271428571428571,0.8728571428571428,0.0,True
PRIME-EV vs CostAccessHeuristic,Top10_AvgUtility,0.12714182991353723,0.10332965870037827,0.1529975320289466,0.0,True
PRIME-EV vs QualityGreenHeuristic,NDCG@10%,0.187721598136381,0.14273003309899673,0.22030226815956,0.0,True
PRIME-EV vs QualityGreenHeuristic,Precision@10%,0.6390476190476192,0.535,0.7714285714285714,0.0,True
PRIME-EV vs QualityGreenHeuristic,Top10_AvgUtility,0.11808436826588041,0.09641570722773163,0.15408947285505836,0.0,True
PRIME-EV vs KMeansRepresentative,NDCG@10%,0.3421138985326364,0.29332663846296325,0.3832781807870496,0.0,True
PRIME-EV vs KMeansRepresentative,Precision@10%,0.8638095238095238,0.7428571428571429,0.9507142857142856,0.0,True
PRIME-EV vs KMeansRepresentative,Top10_AvgUtility,0.21847880824324725,0.18459823851216542,0.24985340851424995,0.0,True
PRIME-EV vs CostOnly,NDCG@10%,0.2555226398941474,0.21274464762682974,0.300705677562555,0.0,True
PRIME-EV vs CostOnly,Precision@10%,0.7371428571428573,0.6207142857142858,0.8649999999999999,0.0,True
PRIME-EV vs CostOnly,Top10_AvgUtility,0.16543754271022557,0.13688769616426924,0.19902050268024654,0.0,True
PRIME-EV vs DistanceOnly,NDCG@10%,0.2498743818669382,0.19803706003517338,0.315148286217997,0.0,True
PRIME-EV vs DistanceOnly,Precision@10%,0.7133333333333334,0.5921428571428572,0.8078571428571427,0.0,True
PRIME-EV vs DistanceOnly,Top10_AvgUtility,0.15473461651627501,0.1258787244557609,0.1876277256023108,0.0,True
PRIME-EV vs DemandOnly,NDCG@10%,0.26625920025091465,0.2063769542158035,0.3373283353418723,0.0,True
PRIME-EV vs DemandOnly,Precision@10%,0.6247619047619051,0.5064285714285715,0.7428571428571429,0.0,True
PRIME-EV vs DemandOnly,Top10_AvgUtility,0.17317621799338873,0.13046677177700336,0.20699022558742064,0.0,True
PRIME-EV vs CapacityOnly,NDCG@10%,0.19979446323805722,0.14615270800641636,0.24832709052729565,0.0,True
PRIME-EV vs CapacityOnly,Precision@10%,0.5514285714285714,0.44928571428571423,0.6649999999999999,0.0,True
PRIME-EV vs CapacityOnly,Top10_AvgUtility,0.12956918186962088,0.10512730600970857,0.15883024418535377,0.0,True
PRIME-EV vs RatingOnly,NDCG@10%,0.22940112588360104,0.1781160591849508,0.27148010150837454,0.0,True
PRIME-EV vs RatingOnly,Precision@10%,0.6885714285714287,0.5271428571428571,0.8078571428571427,0.0,True
PRIME-EV vs RatingOnly,Top10_AvgUtility,0.14437344935822974,0.11150915499270364,0.18309928465707728,0.0,True
PRIME-EV vs RenewableOnly,NDCG@10%,0.2713975015457836,0.21060187654949955,0.3223605231578973,0.0,True
PRIME-EV vs RenewableOnly,Precision@10%,0.760952380952381,0.6571428571428571,0.8649999999999999,0.0,True
PRIME-EV vs RenewableOnly,Top10_AvgUtility,0.17167135614520979,0.13840846380178076,0.20944834409899055,0.0,True
PRIME-EV vs OldestFirst,NDCG@10%,0.32172445477174083,0.2633107919206272,0.3687047089214095,0.0,True
PRIME-EV vs OldestFirst,Precision@10%,0.7866666666666667,0.6778571428571428,0.8857142857142857,0.0,True
PRIME-EV vs OldestFirst,Top10_AvgUtility,0.20767608783267327,0.16865899706661922,0.25411555625539783,0.0,True
PRIME-EV vs Random,NDCG@10%,0.31243619866079725,0.26840665875273456,0.3514653137870548,0.0,True
PRIME-EV vs Random,Precision@10%,0.760952380952381,0.6414285714285715,0.8728571428571428,0.0,True
PRIME-EV vs Random,Top10_AvgUtility,0.1939493244388854,0.15701257997557977,0.2427978270645344,0.0,True
